group,state,content,next
0,질문시작,아코봇을 불러줘,1
1,전체모집요강,전체 모집 요강이 뭐야?,12
1,수시,수시전형 알려줘,3
1,정시,정시전형 알려줘,4
1,모집인원,모집 인원이 몇 명이지?,12
1,작년도경쟁률,작년도 경쟁률은 어때?,6
1,지원자격유의사항,지원자격유의사항 있어?,7
1,재외국민/외국인특별전형,재외국민이나 외국인 특별전형,12
1,전형요소별평가방법,전형요소별평가방법 알려줘,9
1,전형일정,전형 일정 어떻게 돼?,10
3,두드림소프트웨어,두드림소프트웨어 설명해줘,12
3,학교장추천,학교장 추천 설명해줘,12
3,두드림,두드림 설명해줘,12
3,불교추천,불교추천 설명해줘,12
3,논술,논술전형을 설명해줘,12
3,고른기회,고른기회 전형을 설명해줘,12
3,재직자,수시 재직자 전형 설명해줘,12
3,실기,수시 실기 전형 설명해줘,12
3,특수교육대상자,특수 교육 대상자 전형 설명해줘,12
4,일반전형,일반전형 설명해줘,12
4,농어촌전형,농어촌 전형 설명해줘,12
4,특성화고교,특성화 고교 전형 설명해줘,12
4,재직자,재직자 전형 설명해줘,12
4,기초생활수급자 및 차상위계층,기초생활수급자 및 차상위계층 전형 설명해줘,12
6,수시경쟁률,작년 수시 경쟁률 설명해줘,12
6,정시경쟁률,작년 정시 경쟁률 설명해줘,12
7,농어촌학생 재학거주 인정기준,농어촌학생 재학거주 인정기준 어떻게 돼?,12
7,특성화고교 졸업자 통합계열 기준학과,특성화고교 졸업자 통합계열 기준학과 좀 알려줘,12
7,재직기간 산정기준,재직기간 산정기준 있나요?,12
9,서류종합평가,서류종합평가는 뭐야?,12
9,면접평가,면접평가는 어떻게 돼?,12
9,학교생활기록부,학교 생활기록부 반영 방법,12
9,대학수학능력시험(SAT),대학수학능력시험 (SAT) 알려줘,12
10,서류종합평가,서류 종합 평가 방법 설명해줘,12
10,면접평가,면접 평가 방법 설명해줘,12
10,학교생활기록부,학교 생활 기록부 평가 방법 설명해줘,12
10,대학수학능력시험,대학 수학 능력 시험 평가 방법 설명해줘,12
12,답변완료,질문그만,0
